osm_id,full_osm_id,name,highway,surface,oneway,bridge,centroid_lat,centroid_lng,road_length,geometry,dist_to_water_m,dist_to_drain_m,flood_count,is_flooded,highway_score,avg_rainfall_mm,risk_label
33876088,way/33876088,,residential,,0,0,13.07224665,80.21417685,34.48,"{'type': 'LineString', 'coordinates': [[80.214324, 13.0721969], [80.2140297, 13.0722964]]}",441.61,2419.1,0,0,4,0.161,0
33876089,way/33876089,,residential,,0,0,13.07149535,80.213365925,83.36,"{'type': 'LineString', 'coordinates': [[80.2133441, 13.0710728], [80.2133511, 13.0713964], [80.2133752, 13.0716907], [80.2133933, 13.0718215]]}",538.93,2360.57,0,0,4,0.161,0
33876090,way/33876090,6th Street,residential,,0,0,13.071459033333333,80.21298973333333,88.48,"{'type': 'LineString', 'coordinates': [[80.2133511, 13.0713964], [80.2130517, 13.0714447], [80.2125664, 13.071536]]}",554.24,2322.78,0,0,4,0.161,0
33876091,way/33876091,EV Ramasamy Street,residential,,0,0,13.07092545,80.21384230000001,110.18,"{'type': 'LineString', 'coordinates': [[80.2143384, 13.0709109], [80.2133462, 13.07094]]}",591.46,2432.24,0,0,4,0.161,0
33876092,way/33876092,,residential,,0,0,13.071175700000001,80.21401714999999,85.86,"{'type': 'LineString', 'coordinates': [[80.2136314, 13.0712034], [80.2144029, 13.071148]]}",561.63,2440.64,1,1,4,0.161,1
33876093,way/33876093,,residential,,0,0,13.0704452,80.21357018333333,121.42,"{'type': 'LineString', 'coordinates': [[80.2141237, 13.0703042], [80.2138648, 13.0703642], [80.2134198, 13.0704025], [80.2133571, 13.0704176], [80.213317, 13.070464], [80.2133387, 13.0707187]]}",648.61,2423.87,0,0,4,0.161,0
33876094,way/33876094,,residential,,0,0,13.06940372,80.21359728,159.81,"{'type': 'LineString', 'coordinates': [[80.2139914, 13.0699786], [80.2136013, 13.0697164], [80.2134958, 13.069412], [80.2134537, 13.0691437], [80.2134442, 13.0687679]]}",762.48,2472.97,0,0,4,0.161,0
33876095,way/33876095,,residential,,0,0,13.06920114,80.21287612,120.06,"{'type': 'LineString', 'coordinates': [[80.2125159, 13.0692992], [80.2126518, 13.0692894], [80.2126619, 13.0691362], [80.2130973, 13.0691372], [80.2134537, 13.0691437]]}",799.24,2410.4,0,0,4,0.161,0
33876097,way/33876097,,residential,,0,0,13.069341675,80.21309465,57.6,"{'type': 'LineString', 'coordinates': [[80.2130973, 13.0691372], [80.2130974, 13.0691564], [80.2130939, 13.069417], [80.21309, 13.0696561]]}",778.75,2425.43,0,0,4,0.161,0
33876098,way/33876098,,residential,,0,0,13.0694145,80.21329485000001,44.61,"{'type': 'LineString', 'coordinates': [[80.2130939, 13.069417], [80.2134958, 13.069412]]}",766.57,2442.05,0,0,4,0.161,0
33876099,way/33876099,,residential,,0,0,13.068355666666667,80.21387650000001,87.17,"{'type': 'LineString', 'coordinates': [[80.2138717, 13.068757], [80.2138781, 13.0683383], [80.2138797, 13.0679717]]}",874.78,2551.67,0,0,4,0.161,0
33876103,way/33876103,,residential,,0,0,13.068855625,80.210859125,174.4,"{'type': 'LineString', 'coordinates': [[80.2109915, 13.0695015], [80.2109414, 13.0692042], [80.2108393, 13.0687517], [80.2106643, 13.0679651]]}",905.63,2230.27,0,0,4,0.161,0
33876105,way/33876105,,residential,,0,0,13.074571333333333,80.21111615,167.89,"{'type': 'LineString', 'coordinates': [[80.2113007, 13.0741178], [80.211286, 13.0746307], [80.2112809, 13.0746415], [80.2112715, 13.0746457], [80.2112584, 13.0746475], [80.2102994, 13.0747448]]}",341.0,2022.89,0,0,4,0.161,0
33876106,way/33876106,,residential,,0,0,13.074182116666668,80.21153084999999,80.72,"{'type': 'LineString', 'coordinates': [[80.2115804, 13.0745494], [80.2115851, 13.0741187], [80.2115821, 13.0741083], [80.2115745, 13.0741008], [80.2115623, 13.0740977], [80.2113007, 13.0741178]]}",343.45,2077.87,0,0,4,0.161,0
33876107,way/33876107,,residential,,0,0,13.073042000000001,80.211725,56.17,"{'type': 'LineString', 'coordinates': [[80.2117551, 13.0732932], [80.2116949, 13.0727908]]}",442.49,2133.0,0,0,4,0.161,0
33876108,way/33876108,Bharathi Nagar Road,residential,,0,0,13.073252100000001,80.211316825,105.1,"{'type': 'LineString', 'coordinates': [[80.2113432, 13.0737956], [80.21132, 13.0733273], [80.2113055, 13.0730357], [80.2112986, 13.0728498]]}",442.74,2082.82,1,1,4,0.161,1
33876109,way/33876109,,residential,,0,0,13.07314882,80.21075828000001,92.21,"{'type': 'LineString', 'coordinates': [[80.2106334, 13.072852], [80.210663, 13.073009], [80.2106941, 13.0732826], [80.2107228, 13.0733101], [80.2110781, 13.0732904]]}",486.65,2027.14,0,0,4,0.161,0
33876110,way/33876110,,residential,,0,0,13.074178325,80.209132925,127.98,"{'type': 'LineString', 'coordinates': [[80.208529, 13.0742379], [80.209068, 13.0741757], [80.2092578, 13.0741521], [80.2096769, 13.0741476]]}",468.06,1821.1,0,0,4,0.161,0
34551123,way/34551123,,residential,,0,0,13.070723699999999,80.21107552,117.19,"{'type': 'LineString', 'coordinates': [[80.2107154, 13.0709246], [80.2109563, 13.0709306], [80.2111894, 13.0708511], [80.2111689, 13.0704623], [80.2113476, 13.0704499]]}",706.57,2157.46,0,0,4,0.161,0
45403661,way/45403661,,service,,0,0,13.0682136,80.2053487,79.0,"{'type': 'LineString', 'coordinates': [[80.2053738, 13.0686473], [80.2053629, 13.0680436], [80.2053094, 13.0679499]]}",428.25,1771.13,0,0,5,0.161,0
45403662,way/45403662,,service,,0,0,13.068239066666669,80.20526446666666,84.66,"{'type': 'LineString', 'coordinates': [[80.2052954, 13.0686987], [80.2052771, 13.0680698], [80.2052209, 13.0679487]]}",418.67,1762.25,0,0,5,0.161,0
45403664,way/45403664,,service,,0,0,13.068261166666666,80.20517969999999,90.93,"{'type': 'LineString', 'coordinates': [[80.2052047, 13.0687582], [80.2051912, 13.0680776], [80.2051432, 13.0679477]]}",409.07,1753.59,2,1,5,0.161,1
69610256,way/69610256,Jawaharlal Nehru Road (100 Feet Road),primary,asphalt,1,0,13.067106876,80.208895356,1051.94,"{'type': 'LineString', 'coordinates': [[80.2050526, 13.0699705], [80.2051326, 13.0699187], [80.2052228, 13.0698592], [80.2054485, 13.0697116], [80.205912, 13.0694084], [80.2059513, 13.0693827], [80.2072854, 13.0685573], [80.2075013, 13.0684236], [80.2083096, 13.0679108], [80.2086191, 13.0677145], [80.2087178, 13.0676528], [80.2089059, 13.0675351], [80.2093297, 13.0672659], [80.209696, 13.0670089], [80.2098652, 13.0668577], [80.2101186, 13.0665491], [80.2102514, 13.0663875], [80.2108608, 13.0656454], [80.2110543, 13.0653579], [80.2112453, 13.0650987], [80.2113672, 13.0648929], [80.2115371, 13.0644958], [80.2116247, 13.064291], [80.2116562, 13.0640884], [80.2117185, 13.0636875]]}",783.73,2154.23,2,1,2,0.161,1
69610258,way/69610258,Jawaharlal Nehru Road (100 Feet Road),primary,,1,0,13.07077541111111,80.20363896666667,370.83,"{'type': 'LineString', 'coordinates': [[80.2048975, 13.0697317], [80.2042611, 13.0701924], [80.2040793, 13.0703589], [80.2039752, 13.0704513], [80.203593, 13.0708043], [80.2034745, 13.0709128], [80.2033902, 13.07099], [80.2027031, 13.0716192], [80.2023768, 13.0719181]]}",337.32,1443.38,0,0,2,0.161,0
95641235,way/95641235,Jawaharlal Nehru Road (100 Feet Road),primary,,1,0,13.071025449999999,80.20372802142857,416.1,"{'type': 'LineString', 'coordinates': [[80.2021568, 13.0723474], [80.2022452, 13.0722708], [80.2026472, 13.0719225], [80.2029781, 13.0716408], [80.2030352, 13.0715911], [80.203146, 13.0714978], [80.2037634, 13.0709652], [80.2040373, 13.0707288], [80.2043496, 13.0704959], [80.2043796, 13.0704724], [80.204643, 13.0702711], [80.2048432, 13.0701184], [80.2049151, 13.0700636], [80.2050526, 13.0699705]]}",364.26,1434.39,0,0,2,0.161,0
100857270,way/100857270,EVR Periyar Salai,primary,asphalt,1,0,13.077022770833333,80.20774881666667,1145.67,"{'type': 'LineString', 'coordinates': [[80.2015481, 13.0763573], [80.2022104, 13.0763009], [80.2027533, 13.0763395], [80.2037405, 13.076562], [80.2044329, 13.0767142], [80.204818, 13.0767658], [80.2066573, 13.0771022], [80.2069854, 13.077139], [80.2073362, 13.0771463], [80.2079621, 13.0771759], [80.2080129, 13.0771778], [80.20815, 13.077183], [80.2084459, 13.0771942], [80.2087674, 13.0772348], [80.2089034, 13.077252], [80.2093794, 13.077272], [80.2094733, 13.0772759], [80.2098239, 13.0772876], [80.2102274, 13.0772601], [80.2106677, 13.0772183], [80.2107849, 13.0772072], [80.2114018, 13.0771485], [80.2117144, 13.0771188], [80.211775, 13.0771132]]}",154.16,1606.48,0,0,2,0.161,1
102547872,way/102547872,Jawaharlal Nehru Road (100 Feet Road),primary,,1,0,13.0652886125,80.2101073,1202.81,"{'type': 'LineString', 'coordinates': [[80.2115442, 13.0613226], [80.2115564, 13.0614767], [80.2116246, 13.0623418], [80.2116333, 13.0624515], [80.2116127, 13.0626955], [80.2115475, 13.0637559], [80.2114702, 13.0642324], [80.2114454, 13.0643029], [80.2114176, 13.0643821], [80.2113985, 13.0644233], [80.2112042, 13.0648428], [80.2109724, 13.0651633], [80.2108694, 13.0653193], [80.2107217, 13.0654941], [80.2106715, 13.0655535], [80.2104621, 13.0658012], [80.2098068, 13.0665819], [80.2095904, 13.0667778], [80.2092129, 13.067025], [80.2085728, 13.0674379], [80.2072742, 13.0683387], [80.2065632, 13.068699], [80.2057882, 13.0691904], [80.205615, 13.0693171]]}",890.82,2384.39,4,1,2,0.161,2
112869287,way/112869287,,residential,,0,0,13.07560595,80.215667825,140.87,"{'type': 'LineString', 'coordinates': [[80.2150603, 13.0757996], [80.2155151, 13.0756367], [80.2158192, 13.0755413], [80.2162767, 13.0754462]]}",124.56,2498.54,0,0,4,0.161,1
